1,1.655,2.364,25,,,
2,1.655,1.743,26,,,
4,2.482,0.492,76,101,,
5,2.932,0.492,77,102,,
6,3.382,0.492,7,103,,
7,3.752,0.492,8,104,,
8,4.29,0.492,9,,,
9,4.29,1.086,10,40,,
10,1.09,1.086,41,,,
11,1.09,1.824,42,43,,
12,1.09,2.364,44,,,
13,1.09,2.904,47,,,
14,1.655,2.904,48,,,
15,3.593,2.364,49,,,
16,3.593,1.743,17,,,
17,3.052,1.743,51,52,53,54,107
18,4.29,2.364,55,,,
19,4.29,2.904,57,,,
20,3.593,2.904,58,,,
21,0.425,1.824,60,,,
23,0.425,0.492,66,,,
24,0.425,2.634,88,,,
25,1.655,2.094,2,,,
26,2.278,1.743,91,106,,
40,4.29,2.094,18,56,,
41,1.09,1.356,94,,,
42,1.09,2.094,12,46,,
43,0.82,1.824,21,,,
44,1.09,2.634,13,45,,
45,0.82,2.634,24,,,
46,1.33,2.094,25,,,
47,1.33,2.904,14,,,
48,1.655,2.634,1,,,
49,3.593,2.094,16,,,
51,2.482,1.04096963935344,95,,,
52,2.932,1.04096963935344,96,,,
53,3.382,1.04096963935344,97,,,
54,3.752,1.04096963935344,98,,,
55,4.29,2.634,19,,,
56,3.898,2.094,49,,,
57,3.898,2.904,20,,,
58,3.593,2.634,15,,,
60,0.425,1.014,23,105,,
66,2.035,0.492,100,,,
67,0.425,2.094,21,,,
76,2.6820000000000004,0.492,5,,,
77,3.132,0.492,6,,,
88,0.425,2.4339999999999997,67,,,
91,2.078,1.086,66,,,
94,1.09,1.556,11,,,
95,2.482,0.84096963935344,4,,,
96,2.932,0.84096963935344,5,,,
97,3.382,0.84096963935344,6,,,
98,3.752,0.84096963935344,7,,,
100,2.2350000000000003,0.492,4,,,
101,2.482,0.292,4,,
102,2.932,0.292,5,,
103,3.382,0.292,6,,,
104,3.752,0.292,7,,
105,0.225,1.014,60,,
106,2.278,1.943,26,,,
107,3.052,1.943,17,,
